symbol, buzz, bullish%, current_price, target_mean, target_diff_from_cur, target_diff_hilow, possible_downside, 30dayPositiveChange, 60dayPositiveChange, CurrentStrongBuy, CurrentStrongSell, CurrentPercentPositive
0,2020-07-07 18:14:29.533790,ACH, -1, -1, 5.61, 14.51, 8.9, 0.0, 8.9, None, None, -1, -1, -1
0,2020-07-07 18:14:34.690449,ACHC, 1.0, 0, 25.19, 32.42, 7.23, 20.0, -2.19, 4, 4, 8, 0, 65.0
0,2020-07-07 18:14:39.927532,ACHV, -1, -1, 0.4231, 4.67, 4.25, 8.0, 1.58, -2, -1, 3, 0, 86.0
0,2020-07-07 18:14:45.145046,ACI, 0.2, 0, 15.18, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:14:50.354605,ACIA, -1, -1, 67.18, 70.0, 2.82, 0.0, 2.82, 8, 7, 5, 0, 82.0
0,2020-07-07 18:14:55.574988,ACIO, -1, -1, 25.3495, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:15:01.442540,ACIU, 0.0, 0, 7.28, 12.63, 5.35, 10.01, 0.86, 0, 0, 4, 0, 89.0
0,2020-07-07 18:15:06.722646,ACIW, -1, -1, 25.29, 41.2, 15.91, 6.0, 12.71, 0, 0, 4, 0, 75.0
0,2020-07-07 18:15:12.148813,ACLS, -1, -1, 27.59, 26.8, -0.79, 12.0, -7.59, -1, -2, 2, 0, 73.0
0,2020-07-07 18:15:17.391875,ACM, -1, -1, 35.64, 46.22, 10.58, 20.0, 4.36, -3, -3, 4, 0, 59.0
0,2020-07-07 18:15:22.653946,ACMR, 0.0, 0, 73.56, 45.14, -28.42, 42.0, -45.56, -4, -4, 2, 0, 88.0
0,2020-07-07 18:15:29.044297,ACN, 0.3684, 0, 216.33, 188.22, -28.11, 76.0, -62.33, None, None, -1, -1, -1
0,2020-07-07 18:15:33.733710,ACNB, -1, -1, 23.39, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:15:38.503953,ACOR, -1, -1, 0.711, 3.92, 3.21, 9.0, 0.29, 1, 1, 0, 2, 12.0
0,2020-07-07 18:15:43.592946,ACP, -1, -1, 9.39, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:15:48.325095,ACRE, 0.8333, 1, 8.33, 9.75, 1.42, 2.0, 0.67, 0, 0, 2, 0, 67.0
0,2020-07-07 18:15:53.160009,ACRS, -1, -1, 1.77, 4.5, 2.73, 1.5, 1.73, 2, 2, 6, 0, 92.0
0,2020-07-07 18:15:57.886883,ACRX, -1, -1, 1.13, 5.8, 4.67, 8.0, -0.13, -1, -1, 2, 0, 73.0
0,2020-07-07 18:16:02.637888,ACSG, -1, -1, 26.1996, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:16:07.359538,ACSI, -1, -1, 33.9789, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:16:12.108070,ACST, 0.0, 0, 0.72, -1, -1, -1.0, -1.0, 0, 0, 1, 0, 80.0
0,2020-07-07 18:16:16.879897,ACT, -1, -1, 22.9226, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:16:21.645928,ACTG, 0.8333, 1, 3.85, 6.5, 2.65, 0.0, 2.65, 1, 1, 2, 0, 78.0
0,2020-07-07 18:16:26.339580,ACU, -1, -1, 21.96, 21.25, -0.71, 0.0, -0.71, 1, 1, 3, 0, 83.0
0,2020-07-07 18:16:31.092812,ACV, -1, -1, 23.97, 36.93, 12.96, 5.0, 9.03, None, None, -1, -1, -1
0,2020-07-07 18:16:35.805981,ACWF, -1, -1, 28.29, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:16:40.515217,ACWI, -1, -1, 75.51, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:16:45.781983,ACWV, -1, -1, 88.58, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:16:50.982462,ACWX, -1, -1, 44.43, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:16:56.276850,ACY, -1, -1, 2.99, 10.5, 7.51, 0.0, 7.51, 0, 0, 1, 0, 80.0
0,2020-07-07 18:17:01.029318,ADAP, -1, -1, 9.68, 4.4, -5.28, 4.0, -6.68, 3, 3, 5, 0, 79.0
0,2020-07-07 18:17:05.795694,ADBE, -1, -1, 449.36, 339.58, -109.78, 88.0, -159.36, 4, 6, 13, 0, 81.0
0,2020-07-07 18:17:11.073725,ADC, -1, -1, 64.76, 71.82, 7.06, 11.0, 2.24, -3, -3, 5, 0, 71.0
0,2020-07-07 18:17:16.574696,ADCT, -1, -1, 47.51, 11.81, -35.7, 4.75, -39.51, None, None, -1, -1, -1
0,2020-07-07 18:17:21.332464,ADES, -1, -1, 4.88, 18.5, 13.62, 7.0, 10.12, 0, 0, 2, 0, 86.0
0,2020-07-07 18:17:26.738993,ADI, 1.0, 0, 122.62, 117.58, -5.04, 55.0, -32.62, -3, -2, 7, 0, 63.0
0,2020-07-07 18:17:33.457012,ADIL, 0.6666, 0, 1.51, 5.0, 3.49, 0.0, 3.49, 1, 1, 2, 0, 88.0
0,2020-07-07 18:17:38.631243,ADILW, -1, -1, 0.26, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:17:43.338179,ADM, -1, -1, 39.22, 46.75, 7.53, 13.0, 0.78, -8, -9, 1, 2, 9.0
0,2020-07-07 18:17:48.546816,ADMA, 1.0, 1, 2.94, 11.0, 8.06, 9.0, 3.06, -3, -3, 3, 0, 90.0
0,2020-07-07 18:17:53.756956,ADME, -1, -1, 32.5898, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:17:58.941264,ADMP, 1.0, 0, 0.5219, 1.0, 0.48, 0.0, 0.48, 8, 2, 2, 0, 89.0
0,2020-07-07 18:18:03.658169,ADMS, -1, -1, 2.56, 12.69, 10.13, 42.0, 0.44, 1, 1, 3, 0, 93.0
0,2020-07-07 18:18:08.433138,ADNT, -1, -1, 17.29, 15.5, -1.79, 10.0, -6.29, 3, 3, 4, 0, 57.99999999999999
0,2020-07-07 18:18:13.753742,ADP, 0.0, 0, 147.0, 156.0, 9.0, 53.0, -12.0, -3, -4, 3, 0, 23.0
0,2020-07-07 18:18:19.061099,ADPT, -1, -1, 46.55, 44.75, -1.8, 3.0, -3.55, 0, 0, 6, 0, 92.0
0,2020-07-07 18:18:23.783457,ADRE, -1, -1, 41.9993, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:18:28.518054,ADRO, 1.0, 1, 2.62, 7.0, 4.38, 6.0, 1.38, 3, 3, 6, 0, 85.0
0,2020-07-07 18:18:33.280462,ADS, 0.2105, 0, 42.0, 55.07, 13.07, 50.0, -7.0, 7, 7, 7, 1, 57.99999999999999
0,2020-07-07 18:18:38.287140,ADSK, 1.0, 0, 238.94, 204.76, -34.18, 206.0, -118.94, 2, 2, 10, 0, 83.0
0,2020-07-07 18:18:43.538728,ADSW, 0.0, 0, 30.13, 32.25, 2.12, 3.0, -0.13, 12, 12, 5, 0, 86.0
0,2020-07-07 18:18:49.391387,ADT, -1, -1, 7.6, 7.61, 0.01, 5.5, -3.1, 1, 1, 3, 0, 80.0
0,2020-07-07 18:18:54.183859,ADTN, 0.5128, 1, 11.02, 9.8, -1.22, 6.5, -4.52, None, None, -1, -1, -1
0,2020-07-07 18:18:59.018863,ADTX, 1.0, 0, 3.85, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:19:03.721463,ADUS, -1, -1, 91.07, 92.5, 1.43, 27.0, -11.07, -5, -5, 5, 0, 80.0
0,2020-07-07 18:19:08.418564,ADVM, 0.8, 1, 20.48, 17.14, -3.34, 9.0, -8.48, -4, -3, 2, 0, 78.0
0,2020-07-07 18:19:13.092088,ADX, -1, -1, 15.25, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:19:18.010621,ADXN, -1, -1, 9.21, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:19:22.730032,ADXS, -1, -1, 0.5527, 5.0, 4.45, 0.0, 4.45, 3, 3, 4, 0, 90.0
0,2020-07-07 18:19:27.886847,AE, -1, -1, 25.89, 27.28, 1.39, 0.0, 1.39, None, None, -1, -1, -1
0,2020-07-07 18:19:33.802538,AEB, -1, -1, 22.28, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:19:39.071663,AEE, -1, -1, 73.34, 84.7, 11.36, 16.0, 2.66, -8, -8, 3, 0, 38.0
0,2020-07-07 18:19:44.359293,AEF, -1, -1, 6.33, -1, -1, -1.0, -1.0, 0, 0, 2, 0, 80.0
0,2020-07-07 18:19:49.660050,AEFC, -1, -1, 24.12, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:19:55.344277,AEG, 0.8, 0, 3.09, 2.98, -0.11, 0.0, -0.11, 0, 0, 0, 1, 0.0
0,2020-07-07 18:20:03.834360,AEGN, 1.0, 0, 15.17, 16.88, 1.71, 2.0, 0.83, 7, 7, 4, 0, 54.0
0,2020-07-07 18:20:09.322543,AEHR, -1, -1, 1.92, 3.0, 1.08, 0.0, 1.08, 0, 0, 2, 0, 86.0
0,2020-07-07 18:20:14.619178,AEIS, -1, -1, 67.33, 60.57, -6.76, 50.0, -27.33, -3, -3, 3, 0, 50.0
0,2020-07-07 18:20:19.922159,AEL, 0.6666, 0, 21.98, 24.67, 2.69, 22.0, -3.98, 0, 1, 1, 0, 50.0
0,2020-07-07 18:20:25.243224,AEL-A, -1, -1, None, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:20:30.521895,AEL-B, -1, -1, None, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:20:35.802305,AEM, 0.5161, 0, 64.32, 64.33, 0.01, 30.0, -18.32, 1, 2, 3, 0, 70.0
0,2020-07-07 18:20:41.265128,AEMD, -1, -1, 1.85, 13.0, 11.15, 0.0, 11.15, 0, 0, 2, 0, 86.0
0,2020-07-07 18:20:46.511727,AEO, 0.9411, 1, 10.72, 10.13, -0.59, 11.0, -4.72, 1, 2, 2, 0, 43.0
0,2020-07-07 18:20:51.522793,AEP, 0.8333, 1, 82.39, 96.31, 13.92, 39.0, -6.39, -7, -5, 5, 0, 43.0
0,2020-07-07 18:20:56.355319,AEP-B, -1, -1, None, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:21:01.128085,AER, 0.0, 0, 27.68, 51.0, 23.32, 50.0, -0.68, 4, 4, 5, 0, 82.0
0,2020-07-07 18:21:05.889634,AERI, 1.0, 0, 13.32, -1, -1, -1.0, -1.0, -3, -2, 5, 0, 88.0
0,2020-07-07 18:21:10.681038,AES, 1.0, 0, 14.14, 17.42, 3.28, 5.0, 0.86, 1, 1, 2, 0, 62.0
0,2020-07-07 18:21:15.989364,AESE, 1.0, 0, 2.18, 4.5, 2.32, 1.0, 1.82, 0, 0, 4, 0, 88.0
0,2020-07-07 18:21:20.837657,AESR, -1, -1, 10.21, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:21:25.683270,AEY, -1, -1, 2.86, 7.6, 4.74, 0.0, 4.74, None, None, -1, -1, -1
0,2020-07-07 18:21:30.564597,AEYE, 0.8, 0, 10.25, 10.0, -0.25, 2.0, -1.25, -1, -1, 2, 0, 86.0
0,2020-07-07 18:21:35.410615,AEZS, 0.0, 0, 0.5168, 4.5, 3.98, 0.0, 3.98, 0, 0, 2, 0, 86.0
0,2020-07-07 18:21:40.246450,AFB, -1, -1, 13.53, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:21:45.557970,AFC, -1, -1, 25.0566, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:21:50.387507,AFG, 0.0, 0, 57.94, 90.5, 32.56, 33.0, 16.06, 1, 0, 3, 0, 70.0
0,2020-07-07 18:21:55.173291,AFGB, -1, -1, 26.815, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:21:59.882903,AFGC, -1, -1, 24.97, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:22:05.202196,AFGD, -1, -1, 26.232, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:22:10.482504,AFGH, -1, -1, 25.31, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:22:15.708939,AFH, -1, -1, 0.5699, 2.25, 1.68, 0.0, 1.68, 7, 7, 2, 0, 88.0
0,2020-07-07 18:22:21.020957,AFI, 1.0, 1, 3.21, 1.75, -1.46, 0.5, -1.71, 0, 0, 0, 1, 0.0
0,2020-07-07 18:22:26.420431,AFIF, -1, -1, 9.835, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:22:31.949899,AFIN, 0.8333, 1, 7.53, 12.33, 4.8, 2.0, 3.47, 0, 0, 0, 2, 0.0
0,2020-07-07 18:22:37.765728,AFINP, -1, -1, 22.98, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:22:43.076507,AFK, -1, -1, 16.65, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:22:48.508622,AFL, 1.0, 0, 34.62, 41.83, 7.21, 18.0, -2.62, 3, 3, 2, 1, 32.0
0,2020-07-07 18:22:53.296317,AFLG, -1, -1, 19.0274, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:22:58.527968,AFMC, -1, -1, 16.7808, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:23:03.877850,AFMD, -1, -1, 4.39, 6.93, 2.54, 5.11, 0.71, 0, 0, 4, 0, 77.0
0,2020-07-07 18:23:09.155316,AFSM, -1, -1, 16.5629, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:23:14.399169,AFT, -1, -1, 12.17, -1, -1, -1.0, -1.0, 0, 0, 0, 1, 0.0
0,2020-07-07 18:23:19.627991,AFTY, -1, -1, 19.45, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:23:24.910169,AFYA, -1, -1, 24.15, 20.57, -3.58, 23.79, -18.78, 1, 1, 3, 0, 75.0
0,2020-07-07 18:23:30.262096,AG, 0.0, 0, 9.68, 9.54, -0.14, 3.04, -1.22, 0, 0, 3, 0, 69.0
0,2020-07-07 18:23:35.594439,AGBA, -1, -1, 10.2301, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:23:40.927704,AGBAR, -1, -1, 0.354757, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
0,2020-07-07 18:23:46.334907,AGBAU, -1, -1, 10.22, -1, -1, -1.0, -1.0, None, None, -1, -1, -1
